,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,port shepstone,0,ZA,1587150935,81,-30.74,30.45,69.03,11.43
1,longyearbyen,75,SJ,1587150737,69,78.22,15.64,33.8,8.05
2,byron bay,40,AU,1587150935,100,-28.65,153.62,69.8,8.05
3,ossora,1,RU,1587150935,89,59.24,163.07,14.04,6.73
4,konstantinovka,39,RU,1587150936,46,49.62,127.98,47.79,6.33
5,mahebourg,40,MU,1587150936,78,-20.41,57.7,77.0,11.41
6,provideniya,100,RU,1587150936,96,64.38,-173.3,31.26,14.85
7,rikitea,53,PF,1587150936,65,-23.12,-134.97,76.86,5.21
8,kapaa,20,US,1587150788,73,22.08,-159.32,75.99,12.75
9,cape town,42,ZA,1587150887,72,-33.93,18.42,62.01,10.29
10,ushuaia,22,AR,1587150889,41,-54.8,-68.3,57.2,13.87
11,saldanha,48,ZA,1587150937,67,-33.01,17.94,62.6,11.41
12,saint george,1,US,1587150852,25,37.1,-113.58,64.4,4.7
13,cidreira,60,BR,1587150937,76,-30.18,-50.21,69.13,8.48
14,maksatikha,66,RU,1587150937,87,57.8,35.88,32.67,5.88
15,busselton,71,AU,1587150666,58,-33.65,115.33,55.99,8.37
16,bluff,98,NZ,1587150688,92,-46.6,168.33,50.0,5.99
17,tilichiki,0,RU,1587150937,92,60.47,166.1,4.62,8.05
18,albany,90,US,1587150937,25,42.6,-73.97,50.0,4.0
19,ko samui,99,TH,1587150938,76,9.54,99.94,84.22,10.54
20,caravelas,30,BR,1587150938,81,-17.71,-39.25,80.53,17.0
21,mataura,100,NZ,1587150730,92,-46.19,168.86,50.0,5.99
22,vaini,20,TO,1587150938,88,-21.2,-175.2,73.4,5.82
23,port elizabeth,41,ZA,1587150689,93,-33.92,25.57,62.6,4.7
24,umm lajj,8,SA,1587150938,52,25.02,37.27,73.69,7.11
25,chokurdakh,51,RU,1587150684,90,70.63,147.92,-14.39,3.71
26,ahipara,88,NZ,1587150938,86,-35.17,173.17,65.89,20.47
27,qasigiannguit,75,GL,1587150939,63,68.82,-51.19,30.2,9.17
28,faya,0,SA,1587150796,77,18.39,42.45,66.2,4.7
29,hermanus,67,ZA,1587150939,82,-34.42,19.23,60.01,3.13
30,tuktoyaktuk,90,CA,1587150694,85,69.45,-133.04,14.0,6.93
31,yellowknife,90,CA,1587150658,63,62.46,-114.35,26.6,17.22
32,hilo,90,US,1587150737,69,19.73,-155.09,75.2,5.82
33,isangel,77,VU,1587150732,84,-19.55,169.27,77.2,14.94
34,nome,90,US,1587150940,93,64.5,-165.41,35.6,12.75
35,machiques,10,VE,1587150940,34,10.06,-72.55,95.85,3.76
36,santa isabel do rio negro,25,BR,1587150941,66,-0.41,-65.02,88.16,2.53
37,dikson,2,RU,1587150766,90,73.51,80.55,7.57,5.06
38,saint-philippe,25,RE,1587150858,69,-21.36,55.77,77.0,20.8
39,lebu,99,CL,1587150941,75,-37.62,-73.65,65.59,8.7
40,hofn,90,IS,1587150721,93,64.25,-15.21,44.6,12.75
41,rensvik,79,NO,1587150941,52,63.1,7.82,42.8,8.05
42,ribeira grande,20,PT,1587150673,63,38.52,-28.7,62.6,9.17
43,bafoulabe,70,ML,1587150942,13,13.81,-10.83,106.81,3.36
44,fortuna,90,US,1587150942,100,40.6,-124.16,53.01,10.29
45,east london,11,ZA,1587150892,68,-33.02,27.91,68.9,8.55
